site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,1.599,2019-01-07
arbutuslake,43.98207,-74.23322,535,0.521,2019-01-07
arbutuslakeinlet,43.99336,-74.24527,527,0.521,2019-01-07
archboldavir,27.176064,-81.21958,8,0.008,2019-01-07
archboldavirx,27.166627,-81.219828,8,0.008,2019-01-07
archboldbahia,27.1656,-81.216112,8,0.008,2019-01-07
archboldpnot,27.187948,-81.200345,9,0.008,2019-01-07
archboldpnotx,27.180677,-81.20068,9,0.008,2019-01-07
arkansascornsoy,34.416,-91.6723,61,1.284,2019-01-07
arsbrooks10,41.9749,-93.6905,312,-0.223,2019-01-07
arsbrooks11,41.9744,-93.6937,313,-0.223,2019-01-07
arscolesnorth,42.4884,-93.5225,356,0.013,2019-01-07
arscolessouth,42.4816,-93.5235,352,0.013,2019-01-07
arsgacp1,31.5109,-83.6179,96,1.43,2019-01-07
arsgacp3,31.7563,-83.7516,139,1.466,2019-01-07
arsgacp4,31.7093,-83.7287,127,1.535,2019-01-07
arsgreatbasinltar098,43.1675,-116.7132,1426,-0.684,2019-01-07
arsgreatbasinltar117,43.1432,-116.7357,1625,-0.733,2019-01-07
arsgreatbasinltar177,43.0645,-116.7484,2114,-0.743,2019-01-07
arsltarmdcr,39.0587,-75.8513,17,2.052,2019-01-07
arsltarmdcrnatw,39.0575,-75.7531,16,1.966,2019-01-07
arsltarmdcrprcw,39.0667,-75.7609,17,1.966,2019-01-07
arsltarmdcrresw,39.0549,-75.7532,16,1.966,2019-01-07
arsltarucbec1,40.7537,-78.0057,400,1.837,2019-01-07
arsltarucbec2,40.7558,-77.9999,396,1.837,2019-01-07
arsmnswanlake1,45.684508,-95.799703,370,0.546,2019-01-07
arsmorris1,45.6167,-96.1269,341,0.543,2019-01-07
arsmorris2,45.627,-96.127,338,0.543,2019-01-07
arsmorris3,45.6091,-96.1265,342,0.543,2019-01-07
arsope3ltar,39.0309,-76.8442,41,2.227,2019-01-07
ashburnham,42.6029,-71.926,292,-0.473,2019-01-07
asuhighlands,36.2076,-81.7032,1016,3.0,2019-01-07
austincary,29.738,-82.2188,44,2.133,2019-01-07
barrow,71.28007453,-156.6091492,5,-9999.0,2019-01-07
bartlettir,44.0646,-71.2881,268,0.427,2019-01-07
bigtraillake,64.9194,-147.822,190,-9999.0,2019-01-07
bitterbrush001,48.154,-119.9456,667,-0.144,2019-01-07
blackrockforest,41.3974,-74.0239,427,1.318,2019-01-07
bnzblackspruce,64.6963,-148.3235,102,-9999.0,2019-01-07
bnzrichfen,64.70134,-148.31195,97,-9999.0,2019-01-07
bnzthermokarstbog,64.6955,-148.3208,104,-9999.0,2019-01-07
boglakepeatland,47.5051,-93.4893,416,0.973,2019-01-07
bostoncommon,42.355912,-71.064145,10,-1.0,2019-01-07
bostonu,42.35041,-71.10438,10,-0.958,2019-01-07
bouldinalfalfa,38.0985,-121.4993,-5,-0.403,2019-01-07
bouldincorn,38.109,-121.535,-5,-0.384,2019-01-07
bozeman,45.783056,-110.777778,2332,-1.011,2019-01-07
brackishimpoundment,33.2015,-79.2973,1,2.183,2019-01-07
bullshoals,36.562833,-93.06663,260,1.407,2019-01-07
burnssagebrush,43.4712,-119.6909,1398,-0.5,2019-01-07
butte,45.95304,-112.47964,1682,-1.154,2019-01-07
butterice,39.5793,-121.858,33,-0.662,2019-01-07
cafboydnorthltar01,46.755104,-117.126052,795,0.804,2019-01-07
cafboydsouthltar01,46.751809,-117.128502,795,0.804,2019-01-07
cafcookeastltar01,46.78152,-117.0821,794,0.589,2019-01-07
cafcookwestltar01,46.784037,-117.09083,807,0.589,2019-01-07
caryinstitute,41.7839,-73.7341,127,0.146,2019-01-07
centralredwoods1,38.632272,-123.301511,200,-0.474,2019-01-07
centralredwoods2,38.632272,-123.301511,200,-0.474,2019-01-07
cperagm,40.8402,-104.7672,1644,-1.392,2019-01-07
cperheavy,40.8153,-104.7386,1652,-1.297,2019-01-07
cpertgm,40.833,-104.76,1644,-1.367,2019-01-07
cperuvb,40.8055764,-104.7558542,1641,-1.367,2019-01-07
cuny,40.8162,-73.9507,42,1.679,2019-01-07
doverdesaltmarsh,39.0888,-75.4368,0,1.483,2019-01-07
downerwoods,43.07938,-87.88076,213,-0.743,2019-01-07
dukehw,35.973583,-79.100371,400,2.204,2019-01-07
ecb1,41.5348,-84.8068,275,-0.639,2019-01-07
ecb2,41.5321,-84.808,275,-0.639,2019-01-07
ecb4,41.1796,-83.0604,240,-0.257,2019-01-07
elverde,18.320654,-65.8199,312,-9999.0,2019-01-07
flagstaff,35.17961521,-111.6049032,6983,-0.844,2019-01-07
flagstaff2,35.179225,-111.604506,6983,-0.844,2019-01-07
flagstaffchimneysprings,35.257296,-111.678542,2250,-0.862,2019-01-07
forbes,39.232,-121.2972,360,-0.609,2019-01-07
fortpaynealpasture1,34.3824,-85.6428,405,2.121,2019-01-07
fortpaynealpasture2,34.3824,-85.6447,403,2.121,2019-01-07
gcesapelo,31.4440444,-81.283528,0,1.014,2019-01-07
gilberttract,38.0015,-121.6691,6,-0.579,2019-01-07
glees,41.3644,-106.2394,3150,-1.272,2019-01-07
glennorganicrice,39.6805,-122.0026,2,-0.527,2019-01-07
glennrice,39.5944,-122.0253,36,-0.632,2019-01-07
goodnow,43.96018,-74.20994,820,0.607,2019-01-07
goodwater,39.22848,-92.11936,264,0.756,2019-01-07
goodwaterbau,39.23115,-92.15216,274,0.75,2019-01-07
grandteton,43.915017,-110.578036,2054,-0.895,2019-01-07
grca1pj,36.0241,-112.2211,1978,-0.807,2019-01-07
greenridge1,39.6905,-78.4067,285,2.218,2019-01-07
harvard,42.5378,-72.1715,340,-0.199,2019-01-07
harvardbarn,42.53532,-72.1899,350,-0.173,2019-01-07
harvardbarn2,42.53532,-72.1899,350,-0.173,2019-01-07
harvardems2,42.5378,-72.1715,340,-0.199,2019-01-07
harvardfarmnorth,42.520465,-72.182242,355,-0.173,2019-01-07
harvardfarmsouth,42.522466,-72.182339,355,-0.173,2019-01-07
harvardgarden,42.5291,-72.1863,335,-0.173,2019-01-07
harvardhemlock,42.539,-72.18,355,-0.173,2019-01-07
harvardhemlock2,42.539407,-72.177976,355,-0.199,2019-01-07
harvardlph,42.542,-72.185,380,-0.173,2019-01-07
hawbeckereddy,40.6608,-77.848849,310,2.093,2019-01-07
