site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,2.099,2021-01-04
arbutuslake,43.98207,-74.23322,535,-1.02,2021-01-04
arbutuslakeinlet,43.99336,-74.24527,527,-1.02,2021-01-04
archboldavir,27.176064,-81.21958,8,-0.345,2021-01-04
archboldavirx,27.166627,-81.219828,8,-0.345,2021-01-04
archboldbahia,27.1656,-81.216112,8,-0.345,2021-01-04
archboldpnot,27.187948,-81.200345,9,-0.345,2021-01-04
archboldpnotx,27.180677,-81.20068,9,-0.345,2021-01-04
arkansascornsoy,34.416,-91.6723,61,1.0,2021-01-04
arsbrooks10,41.9749,-93.6905,312,0.394,2021-01-04
arsbrooks11,41.9744,-93.6937,313,0.394,2021-01-04
arscolesnorth,42.4884,-93.5225,356,-0.322,2021-01-04
arscolessouth,42.4816,-93.5235,352,-0.322,2021-01-04
arsgacp1,31.5109,-83.6179,96,-0.407,2021-01-04
arsgacp3,31.7563,-83.7516,139,-0.634,2021-01-04
arsgacp4,31.7093,-83.7287,127,-0.63,2021-01-04
arsgreatbasinltar098,43.1675,-116.7132,1426,-0.645,2021-01-04
arsgreatbasinltar117,43.1432,-116.7357,1625,-0.798,2021-01-04
arsgreatbasinltar177,43.0645,-116.7484,2114,-0.933,2021-01-04
arsltarmdcr,39.0587,-75.8513,17,1.315,2021-01-04
arsltarmdcrnatw,39.0575,-75.7531,16,1.163,2021-01-04
arsltarmdcrprcw,39.0667,-75.7609,17,1.163,2021-01-04
arsltarmdcrresw,39.0549,-75.7532,16,1.163,2021-01-04
arsltarucbec1,40.7537,-78.0057,400,0.257,2021-01-04
arsltarucbec2,40.7558,-77.9999,396,0.257,2021-01-04
arsmnswanlake1,45.684508,-95.799703,370,-0.444,2021-01-04
arsmorris1,45.6167,-96.1269,341,-0.344,2021-01-04
arsmorris2,45.627,-96.127,338,-0.344,2021-01-04
arsmorris3,45.6091,-96.1265,342,-0.344,2021-01-04
arsope3ltar,39.0309,-76.8442,41,1.661,2021-01-04
ashburnham,42.6029,-71.926,292,0.65,2021-01-04
asuhighlands,36.2076,-81.7032,1016,0.653,2021-01-04
