site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,56.309998,2010-01-11
arbutuslake,43.98207,-74.23322,535,48.6,2010-01-11
arbutuslakeinlet,43.99336,-74.24527,527,28.67,2010-01-11
archboldavir,27.176064,-81.21958,8,71.72,2010-01-11
archboldavirx,27.166627,-81.219828,8,71.72,2010-01-11
archboldbahia,27.1656,-81.216112,8,71.72,2010-01-11
archboldpnot,27.187948,-81.200345,9,63.43,2010-01-11
archboldpnotx,27.180677,-81.20068,9,63.43,2010-01-11
arkansascornsoy,34.416,-91.6723,61,53.25,2010-01-11
arsbrooks10,41.9749,-93.6905,312,47.329998,2010-01-11
arsbrooks11,41.9744,-93.6937,313,47.329998,2010-01-11
arscolesnorth,42.4884,-93.5225,356,56.989998,2010-01-11
arscolessouth,42.4816,-93.5235,352,56.989998,2010-01-11
arsgacp1,31.5109,-83.6179,96,67.479996,2010-01-11
arsgacp3,31.7563,-83.7516,139,63.69,2010-01-11
arsgacp4,31.7093,-83.7287,127,92.04,2010-01-11
arsgreatbasinltar098,43.1675,-116.7132,1426,51.219997,2010-01-11
arsgreatbasinltar117,43.1432,-116.7357,1625,49.7,2010-01-11
arsgreatbasinltar177,43.0645,-116.7484,2114,32.75,2010-01-11
arsltarmdcr,39.0587,-75.8513,17,42.27,2010-01-11
arsltarmdcrnatw,39.0575,-75.7531,16,30.49,2010-01-11
arsltarmdcrprcw,39.0667,-75.7609,17,45.01,2010-01-11
arsltarmdcrresw,39.0549,-75.7532,16,30.49,2010-01-11
arsltarucbec1,40.7537,-78.0057,400,47.8,2010-01-11
arsltarucbec2,40.7558,-77.9999,396,47.8,2010-01-11
arsmnswanlake1,45.684508,-95.799703,370,47.94,2010-01-11
arsmorris1,45.6167,-96.1269,341,52.64,2010-01-11
arsmorris2,45.627,-96.127,338,52.64,2010-01-11
arsmorris3,45.6091,-96.1265,342,47.59,2010-01-11
arsope3ltar,39.0309,-76.8442,41,68.49,2010-01-11
ashburnham,42.6029,-71.926,292,31.349998,2010-01-11
asuhighlands,36.2076,-81.7032,1016,38.239998,2010-01-11
austincary,29.738,-82.2188,44,72.08,2010-01-11
barrow,71.28007453,-156.6091492,5,-9999.0,2010-01-11
bartlettir,44.0646,-71.2881,268,20.71,2010-01-11
bigtraillake,64.9194,-147.822,190,54.25,2010-01-11
bitterbrush001,48.154,-119.9456,667,57.949997,2010-01-11
blackrockforest,41.3974,-74.0239,427,35.76,2010-01-11
bnzblackspruce,64.6963,-148.3235,102,56.44,2010-01-11
bnzrichfen,64.70134,-148.31195,97,62.73,2010-01-11
bnzthermokarstbog,64.6955,-148.3208,104,56.44,2010-01-11
boglakepeatland,47.5051,-93.4893,416,45.32,2010-01-11
bostoncommon,42.355912,-71.064145,10,47.69,2010-01-11
bostonu,42.35041,-71.10438,10,18.27,2010-01-11
bouldinalfalfa,38.0985,-121.4993,-5,50.95,2010-01-11
bouldincorn,38.109,-121.535,-5,38.379997,2010-01-11
bozeman,45.783056,-110.777778,2332,32.35,2010-01-11
brackishimpoundment,33.2015,-79.2973,1,54.84,2010-01-11
bullshoals,36.562833,-93.06663,260,75.71,2010-01-11
burnssagebrush,43.4712,-119.6909,1398,50.809998,2010-01-11
butte,45.95304,-112.47964,1682,24.46,2010-01-11
butterice,39.5793,-121.858,33,38.899998,2010-01-11
cafboydnorthltar01,46.755104,-117.126052,795,57.92,2010-01-11
cafboydsouthltar01,46.751809,-117.128502,795,57.92,2010-01-11
cafcookeastltar01,46.78152,-117.0821,794,61.57,2010-01-11
cafcookwestltar01,46.784037,-117.09083,807,61.57,2010-01-11
caryinstitute,41.7839,-73.7341,127,56.61,2010-01-11
centralredwoods1,38.632272,-123.301511,200,48.25,2010-01-11
centralredwoods2,38.632272,-123.301511,200,48.25,2010-01-11
cperagm,40.8402,-104.7672,1644,50.67,2010-01-11
cperheavy,40.8153,-104.7386,1652,37.62,2010-01-11
cpertgm,40.833,-104.76,1644,45.46,2010-01-11
cperuvb,40.8055764,-104.7558542,1641,37.62,2010-01-11
cuny,40.8162,-73.9507,42,62.6,2010-01-11
doverdesaltmarsh,39.0888,-75.4368,0,50.0,2010-01-11
downerwoods,43.07938,-87.88076,213,51.34,2010-01-11
dukehw,35.973583,-79.100371,400,73.85,2010-01-11
ecb1,41.5348,-84.8068,275,34.25,2010-01-11
ecb2,41.5321,-84.808,275,34.25,2010-01-11
ecb4,41.1796,-83.0604,240,39.82,2010-01-11
elverde,18.320654,-65.8199,312,58.399998,2010-01-11
flagstaff,35.17961521,-111.6049032,6983,44.66,2010-01-11
flagstaff2,35.179225,-111.604506,6983,44.66,2010-01-11
flagstaffchimneysprings,35.257296,-111.678542,2250,69.869995,2010-01-11
forbes,39.232,-121.2972,360,45.629997,2010-01-11
fortpaynealpasture1,34.3824,-85.6428,405,73.31,2010-01-11
fortpaynealpasture2,34.3824,-85.6447,403,68.31,2010-01-11
gcesapelo,31.4440444,-81.283528,0,55.039997,2010-01-11
gilberttract,38.0015,-121.6691,6,38.03,2010-01-11
glees,41.3644,-106.2394,3150,57.93,2010-01-11
glennorganicrice,39.6805,-122.0026,2,42.2,2010-01-11
glennrice,39.5944,-122.0253,36,50.649998,2010-01-11
goodnow,43.96018,-74.20994,820,33.309998,2010-01-11
goodwater,39.22848,-92.11936,264,46.02,2010-01-11
goodwaterbau,39.23115,-92.15216,274,34.89,2010-01-11
grandteton,43.915017,-110.578036,2054,54.46,2010-01-11
grca1pj,36.0241,-112.2211,1978,60.53,2010-01-11
greenridge1,39.6905,-78.4067,285,46.43,2010-01-11
harvard,42.5378,-72.1715,340,46.57,2010-01-11
harvardbarn,42.53532,-72.1899,350,35.98,2010-01-11
harvardbarn2,42.53532,-72.1899,350,35.98,2010-01-11
harvardems2,42.5378,-72.1715,340,46.57,2010-01-11
harvardfarmnorth,42.520465,-72.182242,355,35.98,2010-01-11
harvardfarmsouth,42.522466,-72.182339,355,35.98,2010-01-11
harvardgarden,42.5291,-72.1863,335,35.98,2010-01-11
harvardhemlock,42.539,-72.18,355,46.57,2010-01-11
harvardhemlock2,42.539407,-72.177976,355,46.57,2010-01-11
harvardlph,42.542,-72.185,380,35.98,2010-01-11
hawbeckereddy,40.6608,-77.848849,310,49.289997,2010-01-11
hobcawclearcutlongleaf,33.3486,-79.232,4,57.27,2010-01-11
hobcawmaturelongleaf,33.3242,-79.2439,8,52.93,2010-01-11
homesteadsprings,37.2009,-92.9937,452,50.6,2010-01-11
howland1,45.2041,-68.7403,80,31.64,2010-01-11
howland2,45.2128,-68.7418,79,31.64,2010-01-11
hubbardbrook,43.9438,-71.701,253,65.159996,2010-01-11
humnokericea,34.585192,-91.751684,61,55.17,2010-01-11
humnokericec,34.588853,-91.7516729,70,55.17,2010-01-11
huyckpreserveny,42.5266,-74.1587,478,34.38,2010-01-11
hwmo1,20.0212,-155.7331,585,52.039997,2010-01-11
hwmo2,19.9766,-155.8298,12,12.2699995,2010-01-11
hwmo5,20.1117,-155.8151,635,55.0,2010-01-11
ibp,32.589,-106.847,1325,60.78,2010-01-11
imcrkfen,68.60583,-149.31101,900,-9999.0,2010-01-11
imcrkridge0,68.60681,-149.2958,951,-9999.0,2010-01-11
imcrkridge1,68.60681,-149.2958,951,-9999.0,2010-01-11
imcrktussock,68.60633,-149.30408,918,-9999.0,2010-01-11
jasperridge,37.402028,-122.22104,197,58.859997,2010-01-11
jerbajada,32.57992,-106.633793,1402,40.05,2010-01-11
jergrassland,32.5833,-106.8333,1331,60.78,2010-01-11
jernort,32.619,-106.788,1328,50.69,2010-01-11
jernovel,32.6335,-106.8334,1324,56.199997,2010-01-11
jernwern,32.6271,-106.7387,1325,65.18,2010-01-11
jersand,32.515,-106.798,1363,58.23,2010-01-11
jershrubland,32.6502,-106.8334,1328,56.199997,2010-01-11
junipersavannah,34.4254,-105.8615,1931,57.289997,2010-01-11
kamuela,20.015008,-155.661326,850,43.46,2010-01-11
kamuela2,20.014959,-155.661139,830,43.46,2010-01-11
kansas,39.0561,-95.1907,333,51.71,2010-01-11
kelloggcorn,42.437536,-85.3225472,288,48.77,2010-01-11
kempnrs,45.83992,-89.67755,539,28.49,2010-01-11
kendall,31.73652,-109.94185,1529,63.14,2010-01-11
konza,39.0824,-96.5603,443,49.01,2010-01-11
laupahoehoe,19.9322,-155.2912,1145,42.84,2010-01-11
ldeocam,41.0039,-73.9053,121,42.39,2010-01-11
lostcreek,46.0827,-89.9792,480,56.86,2010-01-11
luckyhills,31.743896,-110.052023,1366,59.699997,2010-01-11
macleish,42.4484,-72.6804,251,36.0,2010-01-11
macordway,44.8106,-93.0272,264,43.629997,2010-01-11
mandanh5,46.775423,-100.95109,593,49.98,2010-01-11
mandani2,46.7614,-100.9257,590,51.629997,2010-01-11
manilacotton,35.8872,-90.1371,73,63.84,2010-01-11
marena,36.06434,-97.21271,327,43.629997,2010-01-11
mead1,41.1651,-96.4766,361,53.75,2010-01-11
mead2,41.1649,-96.4701,362,53.75,2010-01-11
mead3,41.1797,-96.4397,363,43.68,2010-01-11
meadpasture,41.1447,-96.4616,356,54.35,2010-01-11
meadpasturese,41.1447,-96.4616,356,54.35,2010-01-11
meadpasturesw,41.1447,-96.4616,356,54.35,2010-01-11
missouriozarks,38.7441,-92.2,219,41.579998,2010-01-11
morganmonroe,39.3231,-86.4131,275,48.39,2010-01-11
morganmonroe2,39.3231,-86.4131,275,48.39,2010-01-11
nahuku,19.415187,-155.238383,1202,62.1,2010-01-11
nationalelkrefuge,43.488931,-110.737824,1899,42.48,2010-01-11
ncssm,36.018446,-78.92075,175,58.969997,2010-01-11
NEON.D01.BART.DP1.00033,44.063869,-71.287375,285,51.739998,2010-01-11
NEON.D01.HARV.DP1.00033,42.536911,-72.17265,359,46.57,2010-01-11
NEON.D01.HOPB.DP1.20002,42.471786,-72.329627,203,31.98,2010-01-11
NEON.D02.BLAN.DP1.00033,39.033698,-78.041788,162,50.0,2010-01-11
NEON.D02.LEWI.DP1.20002,39.09564,-77.98322,152,50.0,2010-01-11
NEON.D02.POSE.DP1.20002,38.89332,-78.14678,293,50.0,2010-01-11
NEON.D02.SCBI.DP1.00033,38.892925,-78.139494,364,50.0,2010-01-11
NEON.D02.SERC.DP1.00033,38.89008,-76.56001,30,52.079998,2010-01-11
NEON.D03.BARC.DP1.20002,29.676473,-82.009089,35,62.309998,2010-01-11
NEON.D03.DSNY.DP1.00033,28.12505,-81.43619,22,64.28,2010-01-11
NEON.D03.FLNT.DP1.20002,31.185424,-84.437403,27,78.17,2010-01-11
NEON.D03.JERC.DP1.00033,31.194839,-84.468623,58,78.17,2010-01-11
NEON.D03.OSBS.DP1.00033,29.689282,-81.993431,56,85.259995,2010-01-11
NEON.D03.SUGG.DP1.20002,29.687054,-82.016171,28,62.309998,2010-01-11
NEON.D04.CUPE.DP1.20002,18.11352,-66.98676,164,59.039997,2010-01-11
NEON.D04.GUAN.DP1.00033,17.96955,-66.8687,136,49.629997,2010-01-11
NEON.D04.GUIL.DP1.20002,18.1741,-66.79851,564,62.75,2010-01-11
NEON.D04.LAJA.DP1.00033,18.021261,-67.076889,22,51.43,2010-01-11
NEON.D05.CRAM.DP1.20002,46.21111,-89.47825,518,27.529999,2010-01-11
NEON.D05.LIRO.DP1.20002,45.998269,-89.704767,495,41.35,2010-01-11
NEON.D05.STEI.DP1.00033,45.50894,-89.58637,476,27.279999,2010-01-11
NEON.D05.TREE.DP1.00033,45.49373,-89.58572,474,43.379997,2010-01-11
NEON.D05.UNDE.DP1.00033,46.23391,-89.537254,529,43.36,2010-01-11
NEON.D06.KING.DP1.20002,39.10506,-96.60336,339,38.2,2010-01-11
NEON.D06.KONA.DP1.00033,39.110446,-96.612935,443,38.2,2010-01-11
NEON.D06.KONZ.DP1.00033,39.10077,-96.56309,415,38.899998,2010-01-11
NEON.D06.MCDI.DP1.20002,38.94428,-96.44197,376,51.079998,2010-01-11
NEON.D06.UKFS.DP1.00033,39.040431,-95.19215,330,51.71,2010-01-11
NEON.D07.GRSM.DP1.00033,35.68896,-83.50195,589,25.75,2010-01-11
NEON.D07.LECO.DP1.20002,35.69043,-83.50379,578,25.75,2010-01-11
NEON.D07.MLBS.DP1.00033,37.378314,-80.524847,1177,43.2,2010-01-11
NEON.D07.ORNL.DP1.00033,35.964128,-84.282588,351,50.51,2010-01-11
NEON.D07.WALK.DP1.20002,35.95947,-84.28041,274,63.559998,2010-01-11
NEON.D08.BLWA.DP1.20002,32.541529,-87.798151,23,63.579998,2010-01-11
NEON.D08.DELA.DP1.00033,32.541727,-87.803877,36,63.579998,2010-01-11
NEON.D08.LENO.DP1.00033,31.85388,-88.16122,10,73.46,2010-01-11
NEON.D08.MAYF.DP1.20002,32.959657,-87.408128,93,84.97,2010-01-11
NEON.D08.TALL.DP1.00033,32.95047,-87.393259,167,94.39,2010-01-11
NEON.D08.TOMB.DP1.20002,31.853431,-88.158872,10,73.46,2010-01-11
NEON.D09.DCFS.DP1.00033,47.161647,-99.106556,574,47.84,2010-01-11
NEON.D09.NOGP.DP1.00033,46.76972,-100.91535,589,49.16,2010-01-11
NEON.D09.PRLA.DP1.20002,47.15909,-99.11388,563,42.62,2010-01-11
NEON.D09.PRPO.DP1.20002,47.12999,-99.250551,587,44.84,2010-01-11
NEON.D09.WOOD.DP1.00033,47.1282,-99.241334,585,44.84,2010-01-11
NEON.D10.ARIK.DP1.20002,39.758246,-102.447103,1188,44.12,2010-01-11
NEON.D10.CPER.DP1.00033,40.81553,-104.7456,1600,37.62,2010-01-11
NEON.D10.HQTW.DP1.00033,40.016704,-105.245612,1601,30.349998,2010-01-11
NEON.D10.RMNP.DP1.00033,40.275903,-105.545955,2751,55.219997,2010-01-11
NEON.D10.STER.DP1.00033,40.461894,-103.02929,1366,39.23,2010-01-11
NEON.D11.BLUE.DP1.20002,34.444218,-96.624201,288,73.88,2010-01-11
NEON.D11.CLBJ.DP1.00033,33.40123,-97.57,279,51.789997,2010-01-11
NEON.D11.OAES.DP1.00033,35.41059,-99.05879,520,47.28,2010-01-11
NEON.D11.PRIN.DP1.20002,33.37859,-97.78226,255,63.41,2010-01-11
NEON.D12.BLDE.DP1.20002,44.95011,-110.58715,2035,24.55,2010-01-11
NEON.D12.YELL.DP1.00033,44.95348,-110.53914,2130,30.24,2010-01-11
NEON.D13.COMO.DP1.20002,40.03496,-105.54487,3036,60.05,2010-01-11
NEON.D13.MOAB.DP1.00033,38.24833,-109.38827,1803,44.399998,2010-01-11
NEON.D13.NIWO.DP1.00033,40.05425,-105.58237,3493,58.219997,2010-01-11
NEON.D13.WLOU.DP1.20002,39.891366,-105.915395,2920,59.329998,2010-01-11
NEON.D14.JORN.DP1.00033,32.59068,-106.84254,1321,60.78,2010-01-11
NEON.D14.SRER.DP1.00033,31.91068,-110.83549,999,38.62,2010-01-11
NEON.D14.SYCA.DP1.20002,33.749057,-111.506903,644,78.21,2010-01-11
NEON.D15.ONAQ.DP1.00033,40.177599,-112.452452,1655,51.129997,2010-01-11
NEON.D15.REDB.DP1.20002,40.783934,-111.797887,1696,52.559998,2010-01-11
NEON.D16.ABBY.DP1.00033,45.76243,-122.33033,390,46.32,2010-01-11
NEON.D16.MART.DP1.20002,45.791248,-121.931959,354,43.559998,2010-01-11
NEON.D16.MCRA.DP1.20002,44.259598,-122.165554,880,52.11,2010-01-11
NEON.D16.WREF.DP1.00033,45.82049,-121.95191,368,38.8,2010-01-11
NEON.D17.BIGC.DP1.20002,37.059719,-119.257549,1133,48.329998,2010-01-11
NEON.D17.SJER.DP1.00033,37.10878,-119.73228,398,67.06,2010-01-11
NEON.D17.SOAP.DP1.00033,37.03337,-119.26219,1210,69.5,2010-01-11
NEON.D17.TEAK.DP1.00033,37.00583,-119.00602,2149,46.809998,2010-01-11
NEON.D17.TECR.DP1.20002,36.955931,-119.027363,2053,41.7,2010-01-11
NEON.D18.BARR.DP1.00033,71.28241,-156.61936,7,-9999.0,2010-01-11
NEON.D18.OKSR.DP1.20002,68.669753,-149.143018,773,-9999.0,2010-01-11
NEON.D18.TOOK.DP1.20002,68.629562,-149.610509,715,-9999.0,2010-01-11
