site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,33.67,2016-01-11
arbutuslake,43.98207,-74.23322,535,52.52,2016-01-11
arbutuslakeinlet,43.99336,-74.24527,527,33.84,2016-01-11
archboldavir,27.176064,-81.21958,8,78.84,2016-01-11
archboldavirx,27.166627,-81.219828,8,78.84,2016-01-11
archboldbahia,27.1656,-81.216112,8,78.84,2016-01-11
archboldpnot,27.187948,-81.200345,9,76.5,2016-01-11
archboldpnotx,27.180677,-81.20068,9,76.5,2016-01-11
arkansascornsoy,34.416,-91.6723,61,21.67,2016-01-11
arsbrooks10,41.9749,-93.6905,312,62.84,2016-01-11
arsbrooks11,41.9744,-93.6937,313,62.84,2016-01-11
arscolesnorth,42.4884,-93.5225,356,55.78,2016-01-11
arscolessouth,42.4816,-93.5235,352,55.78,2016-01-11
arsgacp1,31.5109,-83.6179,96,54.92,2016-01-11
arsgacp3,31.7563,-83.7516,139,64.229996,2016-01-11
arsgacp4,31.7093,-83.7287,127,67.85,2016-01-11
arsgreatbasinltar098,43.1675,-116.7132,1426,45.2,2016-01-11
arsgreatbasinltar117,43.1432,-116.7357,1625,40.43,2016-01-11
arsgreatbasinltar177,43.0645,-116.7484,2114,53.129997,2016-01-11
arsltarmdcr,39.0587,-75.8513,17,63.25,2016-01-11
arsltarmdcrnatw,39.0575,-75.7531,16,33.309998,2016-01-11
arsltarmdcrprcw,39.0667,-75.7609,17,66.42,2016-01-11
arsltarmdcrresw,39.0549,-75.7532,16,33.309998,2016-01-11
arsltarucbec1,40.7537,-78.0057,400,47.289997,2016-01-11
arsltarucbec2,40.7558,-77.9999,396,47.289997,2016-01-11
arsmnswanlake1,45.684508,-95.799703,370,50.82,2016-01-11
arsmorris1,45.6167,-96.1269,341,52.41,2016-01-11
arsmorris2,45.627,-96.127,338,52.41,2016-01-11
arsmorris3,45.6091,-96.1265,342,54.5,2016-01-11
arsope3ltar,39.0309,-76.8442,41,70.01,2016-01-11
ashburnham,42.6029,-71.926,292,42.07,2016-01-11
asuhighlands,36.2076,-81.7032,1016,46.46,2016-01-11
austincary,29.738,-82.2188,44,59.17,2016-01-11
barrow,71.28007453,-156.6091492,5,-9999.0,2016-01-11
bartlettir,44.0646,-71.2881,268,36.469997,2016-01-11
bigtraillake,64.9194,-147.822,190,29.14,2016-01-11
bitterbrush001,48.154,-119.9456,667,27.51,2016-01-11
blackrockforest,41.3974,-74.0239,427,64.31,2016-01-11
bnzblackspruce,64.6963,-148.3235,102,32.29,2016-01-11
bnzrichfen,64.70134,-148.31195,97,30.869999,2016-01-11
bnzthermokarstbog,64.6955,-148.3208,104,32.29,2016-01-11
boglakepeatland,47.5051,-93.4893,416,50.149998,2016-01-11
bostoncommon,42.355912,-71.064145,10,26.68,2016-01-11
bostonu,42.35041,-71.10438,10,13.9,2016-01-11
bouldinalfalfa,38.0985,-121.4993,-5,54.48,2016-01-11
bouldincorn,38.109,-121.535,-5,35.34,2016-01-11
bozeman,45.783056,-110.777778,2332,26.519999,2016-01-11
brackishimpoundment,33.2015,-79.2973,1,49.559998,2016-01-11
bullshoals,36.562833,-93.06663,260,42.0,2016-01-11
burnssagebrush,43.4712,-119.6909,1398,51.879997,2016-01-11
butte,45.95304,-112.47964,1682,52.55,2016-01-11
butterice,39.5793,-121.858,33,45.71,2016-01-11
cafboydnorthltar01,46.755104,-117.126052,795,45.09,2016-01-11
cafboydsouthltar01,46.751809,-117.128502,795,45.09,2016-01-11
cafcookeastltar01,46.78152,-117.0821,794,37.8,2016-01-11
cafcookwestltar01,46.784037,-117.09083,807,37.8,2016-01-11
caryinstitute,41.7839,-73.7341,127,45.079998,2016-01-11
centralredwoods1,38.632272,-123.301511,200,51.11,2016-01-11
centralredwoods2,38.632272,-123.301511,200,51.11,2016-01-11
cperagm,40.8402,-104.7672,1644,71.76,2016-01-11
cperheavy,40.8153,-104.7386,1652,28.56,2016-01-11
cpertgm,40.833,-104.76,1644,40.989998,2016-01-11
cperuvb,40.8055764,-104.7558542,1641,28.56,2016-01-11
cuny,40.8162,-73.9507,42,56.85,2016-01-11
doverdesaltmarsh,39.0888,-75.4368,0,26.32,2016-01-11
downerwoods,43.07938,-87.88076,213,39.23,2016-01-11
dukehw,35.973583,-79.100371,400,38.75,2016-01-11
ecb1,41.5348,-84.8068,275,34.43,2016-01-11
ecb2,41.5321,-84.808,275,34.43,2016-01-11
ecb4,41.1796,-83.0604,240,43.45,2016-01-11
elverde,18.320654,-65.8199,312,61.23,2016-01-11
flagstaff,35.17961521,-111.6049032,6983,28.5,2016-01-11
flagstaff2,35.179225,-111.604506,6983,28.5,2016-01-11
flagstaffchimneysprings,35.257296,-111.678542,2250,59.09,2016-01-11
forbes,39.232,-121.2972,360,51.16,2016-01-11
fortpaynealpasture1,34.3824,-85.6428,405,57.43,2016-01-11
fortpaynealpasture2,34.3824,-85.6447,403,81.92,2016-01-11
gcesapelo,31.4440444,-81.283528,0,53.26,2016-01-11
gilberttract,38.0015,-121.6691,6,49.55,2016-01-11
glees,41.3644,-106.2394,3150,43.809998,2016-01-11
