site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,68.1,2011-01-03
arbutuslake,43.98207,-74.23322,535,55.98,2011-01-03
arbutuslakeinlet,43.99336,-74.24527,527,48.11,2011-01-03
archboldavir,27.176064,-81.21958,8,42.39,2011-01-03
archboldavirx,27.166627,-81.219828,8,42.39,2011-01-03
archboldbahia,27.1656,-81.216112,8,42.39,2011-01-03
archboldpnot,27.187948,-81.200345,9,26.14,2011-01-03
archboldpnotx,27.180677,-81.20068,9,26.14,2011-01-03
arkansascornsoy,34.416,-91.6723,61,55.59,2011-01-03
arsbrooks10,41.9749,-93.6905,312,48.219997,2011-01-03
arsbrooks11,41.9744,-93.6937,313,48.219997,2011-01-03
arscolesnorth,42.4884,-93.5225,356,47.71,2011-01-03
arscolessouth,42.4816,-93.5235,352,47.71,2011-01-03
arsgacp1,31.5109,-83.6179,96,61.91,2011-01-03
arsgacp3,31.7563,-83.7516,139,66.4,2011-01-03
arsgacp4,31.7093,-83.7287,127,81.45,2011-01-03
arsgreatbasinltar098,43.1675,-116.7132,1426,38.559998,2011-01-03
arsgreatbasinltar117,43.1432,-116.7357,1625,54.079998,2011-01-03
arsgreatbasinltar177,43.0645,-116.7484,2114,39.5,2011-01-03
arsltarmdcr,39.0587,-75.8513,17,70.549995,2011-01-03
arsltarmdcrnatw,39.0575,-75.7531,16,67.95,2011-01-03
arsltarmdcrprcw,39.0667,-75.7609,17,63.39,2011-01-03
arsltarmdcrresw,39.0549,-75.7532,16,67.95,2011-01-03
arsltarucbec1,40.7537,-78.0057,400,60.489998,2011-01-03
arsltarucbec2,40.7558,-77.9999,396,60.489998,2011-01-03
arsmnswanlake1,45.684508,-95.799703,370,47.6,2011-01-03
arsmorris1,45.6167,-96.1269,341,47.73,2011-01-03
arsmorris2,45.627,-96.127,338,47.73,2011-01-03
arsmorris3,45.6091,-96.1265,342,47.66,2011-01-03
arsope3ltar,39.0309,-76.8442,41,89.43,2011-01-03
ashburnham,42.6029,-71.926,292,52.66,2011-01-03
asuhighlands,36.2076,-81.7032,1016,49.789997,2011-01-03
austincary,29.738,-82.2188,44,75.229996,2011-01-03
barrow,71.28007453,-156.6091492,5,-9999.0,2011-01-03
bartlettir,44.0646,-71.2881,268,64.76,2011-01-03
bigtraillake,64.9194,-147.822,190,-9999.0,2011-01-03
bitterbrush001,48.154,-119.9456,667,32.36,2011-01-03
blackrockforest,41.3974,-74.0239,427,46.809998,2011-01-03
bnzblackspruce,64.6963,-148.3235,102,-9999.0,2011-01-03
bnzrichfen,64.70134,-148.31195,97,-9999.0,2011-01-03
bnzthermokarstbog,64.6955,-148.3208,104,-9999.0,2011-01-03
boglakepeatland,47.5051,-93.4893,416,39.6,2011-01-03
bostoncommon,42.355912,-71.064145,10,48.059998,2011-01-03
bostonu,42.35041,-71.10438,10,25.15,2011-01-03
bouldinalfalfa,38.0985,-121.4993,-5,42.64,2011-01-03
bouldincorn,38.109,-121.535,-5,37.21,2011-01-03
bozeman,45.783056,-110.777778,2332,38.44,2011-01-03
brackishimpoundment,33.2015,-79.2973,1,68.49,2011-01-03
bullshoals,36.562833,-93.06663,260,71.39,2011-01-03
burnssagebrush,43.4712,-119.6909,1398,55.3,2011-01-03
butte,45.95304,-112.47964,1682,37.93,2011-01-03
butterice,39.5793,-121.858,33,31.92,2011-01-03
cafboydnorthltar01,46.755104,-117.126052,795,54.17,2011-01-03
cafboydsouthltar01,46.751809,-117.128502,795,54.17,2011-01-03
cafcookeastltar01,46.78152,-117.0821,794,51.079998,2011-01-03
cafcookwestltar01,46.784037,-117.09083,807,51.079998,2011-01-03
caryinstitute,41.7839,-73.7341,127,40.379997,2011-01-03
centralredwoods1,38.632272,-123.301511,200,45.77,2011-01-03
centralredwoods2,38.632272,-123.301511,200,45.77,2011-01-03
cperagm,40.8402,-104.7672,1644,40.26,2011-01-03
cperheavy,40.8153,-104.7386,1652,34.45,2011-01-03
cpertgm,40.833,-104.76,1644,38.42,2011-01-03
cperuvb,40.8055764,-104.7558542,1641,34.45,2011-01-03
cuny,40.8162,-73.9507,42,58.399998,2011-01-03
doverdesaltmarsh,39.0888,-75.4368,0,43.28,2011-01-03
downerwoods,43.07938,-87.88076,213,53.82,2011-01-03
dukehw,35.973583,-79.100371,400,78.71,2011-01-03
ecb1,41.5348,-84.8068,275,38.84,2011-01-03
ecb2,41.5321,-84.808,275,38.84,2011-01-03
ecb4,41.1796,-83.0604,240,49.85,2011-01-03
elverde,18.320654,-65.8199,312,57.77,2011-01-03
flagstaff,35.17961521,-111.6049032,6983,36.8,2011-01-03
flagstaff2,35.179225,-111.604506,6983,36.8,2011-01-03
flagstaffchimneysprings,35.257296,-111.678542,2250,62.67,2011-01-03
forbes,39.232,-121.2972,360,55.93,2011-01-03
fortpaynealpasture1,34.3824,-85.6428,405,85.7,2011-01-03
fortpaynealpasture2,34.3824,-85.6447,403,74.78,2011-01-03
gcesapelo,31.4440444,-81.283528,0,54.0,2011-01-03
gilberttract,38.0015,-121.6691,6,51.28,2011-01-03
glees,41.3644,-106.2394,3150,60.48,2011-01-03
glennorganicrice,39.6805,-122.0026,2,59.0,2011-01-03
glennrice,39.5944,-122.0253,36,68.13,2011-01-03
goodnow,43.96018,-74.20994,820,50.73,2011-01-03
goodwater,39.22848,-92.11936,264,38.879997,2011-01-03
goodwaterbau,39.23115,-92.15216,274,41.85,2011-01-03
grandteton,43.915017,-110.578036,2054,33.91,2011-01-03
grca1pj,36.0241,-112.2211,1978,66.59,2011-01-03
greenridge1,39.6905,-78.4067,285,87.14,2011-01-03
harvard,42.5378,-72.1715,340,50.309998,2011-01-03
harvardbarn,42.53532,-72.1899,350,48.1,2011-01-03
harvardbarn2,42.53532,-72.1899,350,48.1,2011-01-03
harvardems2,42.5378,-72.1715,340,50.309998,2011-01-03
harvardfarmnorth,42.520465,-72.182242,355,48.1,2011-01-03
harvardfarmsouth,42.522466,-72.182339,355,48.1,2011-01-03
harvardgarden,42.5291,-72.1863,335,48.1,2011-01-03
harvardhemlock,42.539,-72.18,355,50.309998,2011-01-03
harvardhemlock2,42.539407,-72.177976,355,50.309998,2011-01-03
harvardlph,42.542,-72.185,380,48.1,2011-01-03
hawbeckereddy,40.6608,-77.848849,310,60.71,2011-01-03
hobcawclearcutlongleaf,33.3486,-79.232,4,57.01,2011-01-03
hobcawmaturelongleaf,33.3242,-79.2439,8,65.45,2011-01-03
homesteadsprings,37.2009,-92.9937,452,69.46,2011-01-03
howland1,45.2041,-68.7403,80,49.67,2011-01-03
howland2,45.2128,-68.7418,79,49.67,2011-01-03
hubbardbrook,43.9438,-71.701,253,68.7,2011-01-03
humnokericea,34.585192,-91.751684,61,33.399998,2011-01-03
humnokericec,34.588853,-91.7516729,70,33.399998,2011-01-03
huyckpreserveny,42.5266,-74.1587,478,42.719997,2011-01-03
hwmo1,20.0212,-155.7331,585,66.409996,2011-01-03
hwmo2,19.9766,-155.8298,12,25.67,2011-01-03
hwmo5,20.1117,-155.8151,635,51.5,2011-01-03
ibp,32.589,-106.847,1325,37.899998,2011-01-03
imcrkfen,68.60583,-149.31101,900,-9999.0,2011-01-03
imcrkridge0,68.60681,-149.2958,951,-9999.0,2011-01-03
imcrkridge1,68.60681,-149.2958,951,-9999.0,2011-01-03
imcrktussock,68.60633,-149.30408,918,-9999.0,2011-01-03
jasperridge,37.402028,-122.22104,197,42.739998,2011-01-03
jerbajada,32.57992,-106.633793,1402,35.71,2011-01-03
jergrassland,32.5833,-106.8333,1331,37.899998,2011-01-03
jernort,32.619,-106.788,1328,37.25,2011-01-03
jernovel,32.6335,-106.8334,1324,54.68,2011-01-03
jernwern,32.6271,-106.7387,1325,48.61,2011-01-03
jersand,32.515,-106.798,1363,37.69,2011-01-03
jershrubland,32.6502,-106.8334,1328,54.68,2011-01-03
junipersavannah,34.4254,-105.8615,1931,50.969997,2011-01-03
kamuela,20.015008,-155.661326,850,67.46,2011-01-03
kamuela2,20.014959,-155.661139,830,67.46,2011-01-03
kansas,39.0561,-95.1907,333,63.03,2011-01-03
kelloggcorn,42.437536,-85.3225472,288,35.18,2011-01-03
kempnrs,45.83992,-89.67755,539,38.78,2011-01-03
kendall,31.73652,-109.94185,1529,58.73,2011-01-03
konza,39.0824,-96.5603,443,73.26,2011-01-03
laupahoehoe,19.9322,-155.2912,1145,55.75,2011-01-03
ldeocam,41.0039,-73.9053,121,33.13,2011-01-03
lostcreek,46.0827,-89.9792,480,62.199997,2011-01-03
luckyhills,31.743896,-110.052023,1366,50.719997,2011-01-03
macleish,42.4484,-72.6804,251,62.71,2011-01-03
macordway,44.8106,-93.0272,264,43.95,2011-01-03
mandanh5,46.775423,-100.95109,593,60.829998,2011-01-03
mandani2,46.7614,-100.9257,590,60.609997,2011-01-03
manilacotton,35.8872,-90.1371,73,32.73,2011-01-03
marena,36.06434,-97.21271,327,51.61,2011-01-03
mead1,41.1651,-96.4766,361,52.61,2011-01-03
mead2,41.1649,-96.4701,362,52.61,2011-01-03
mead3,41.1797,-96.4397,363,57.32,2011-01-03
meadpasture,41.1447,-96.4616,356,57.199997,2011-01-03
meadpasturese,41.1447,-96.4616,356,57.199997,2011-01-03
meadpasturesw,41.1447,-96.4616,356,57.199997,2011-01-03
missouriozarks,38.7441,-92.2,219,56.789997,2011-01-03
morganmonroe,39.3231,-86.4131,275,58.85,2011-01-03
morganmonroe2,39.3231,-86.4131,275,58.85,2011-01-03
nahuku,19.415187,-155.238383,1202,46.39,2011-01-03
nationalelkrefuge,43.488931,-110.737824,1899,52.05,2011-01-03
ncssm,36.018446,-78.92075,175,52.09,2011-01-03
NEON.D01.BART.DP1.00033,44.063869,-71.287375,285,70.68,2011-01-03
NEON.D01.HARV.DP1.00033,42.536911,-72.17265,359,50.309998,2011-01-03
NEON.D01.HOPB.DP1.20002,42.471786,-72.329627,203,40.39,2011-01-03
NEON.D02.BLAN.DP1.00033,39.033698,-78.041788,162,85.21,2011-01-03
NEON.D02.LEWI.DP1.20002,39.09564,-77.98322,152,80.6,2011-01-03
NEON.D02.POSE.DP1.20002,38.89332,-78.14678,293,79.64,2011-01-03
NEON.D02.SCBI.DP1.00033,38.892925,-78.139494,364,79.64,2011-01-03
NEON.D02.SERC.DP1.00033,38.89008,-76.56001,30,59.649998,2011-01-03
NEON.D03.BARC.DP1.20002,29.676473,-82.009089,35,80.17,2011-01-03
NEON.D03.DSNY.DP1.00033,28.12505,-81.43619,22,31.89,2011-01-03
NEON.D03.FLNT.DP1.20002,31.185424,-84.437403,27,89.09,2011-01-03
NEON.D03.JERC.DP1.00033,31.194839,-84.468623,58,89.09,2011-01-03
NEON.D03.OSBS.DP1.00033,29.689282,-81.993431,56,75.24,2011-01-03
NEON.D03.SUGG.DP1.20002,29.687054,-82.016171,28,80.17,2011-01-03
NEON.D04.CUPE.DP1.20002,18.11352,-66.98676,164,62.85,2011-01-03
NEON.D04.GUAN.DP1.00033,17.96955,-66.8687,136,49.76,2011-01-03
NEON.D04.GUIL.DP1.20002,18.1741,-66.79851,564,61.55,2011-01-03
NEON.D04.LAJA.DP1.00033,18.021261,-67.076889,22,43.77,2011-01-03
NEON.D05.CRAM.DP1.20002,46.21111,-89.47825,518,38.78,2011-01-03
NEON.D05.LIRO.DP1.20002,45.998269,-89.704767,495,45.7,2011-01-03
NEON.D05.STEI.DP1.00033,45.50894,-89.58637,476,38.87,2011-01-03
NEON.D05.TREE.DP1.00033,45.49373,-89.58572,474,43.02,2011-01-03
NEON.D05.UNDE.DP1.00033,46.23391,-89.537254,529,47.09,2011-01-03
NEON.D06.KING.DP1.20002,39.10506,-96.60336,339,56.89,2011-01-03
NEON.D06.KONA.DP1.00033,39.110446,-96.612935,443,56.89,2011-01-03
NEON.D06.KONZ.DP1.00033,39.10077,-96.56309,415,71.799995,2011-01-03
NEON.D06.MCDI.DP1.20002,38.94428,-96.44197,376,69.4,2011-01-03
NEON.D06.UKFS.DP1.00033,39.040431,-95.19215,330,63.03,2011-01-03
NEON.D07.GRSM.DP1.00033,35.68896,-83.50195,589,42.11,2011-01-03
NEON.D07.LECO.DP1.20002,35.69043,-83.50379,578,42.11,2011-01-03
NEON.D07.MLBS.DP1.00033,37.378314,-80.524847,1177,62.609997,2011-01-03
NEON.D07.ORNL.DP1.00033,35.964128,-84.282588,351,49.14,2011-01-03
NEON.D07.WALK.DP1.20002,35.95947,-84.28041,274,39.85,2011-01-03
NEON.D08.BLWA.DP1.20002,32.541529,-87.798151,23,71.29,2011-01-03
NEON.D08.DELA.DP1.00033,32.541727,-87.803877,36,71.29,2011-01-03
NEON.D08.LENO.DP1.00033,31.85388,-88.16122,10,75.0,2011-01-03
NEON.D08.MAYF.DP1.20002,32.959657,-87.408128,93,72.57,2011-01-03
NEON.D08.TALL.DP1.00033,32.95047,-87.393259,167,83.35,2011-01-03
NEON.D08.TOMB.DP1.20002,31.853431,-88.158872,10,75.0,2011-01-03
NEON.D09.DCFS.DP1.00033,47.161647,-99.106556,574,55.87,2011-01-03
NEON.D09.NOGP.DP1.00033,46.76972,-100.91535,589,60.67,2011-01-03
NEON.D09.PRLA.DP1.20002,47.15909,-99.11388,563,58.3,2011-01-03
NEON.D09.PRPO.DP1.20002,47.12999,-99.250551,587,59.17,2011-01-03
NEON.D09.WOOD.DP1.00033,47.1282,-99.241334,585,59.17,2011-01-03
NEON.D10.ARIK.DP1.20002,39.758246,-102.447103,1188,39.14,2011-01-03
NEON.D10.CPER.DP1.00033,40.81553,-104.7456,1600,34.45,2011-01-03
NEON.D10.HQTW.DP1.00033,40.016704,-105.245612,1601,31.859999,2011-01-03
NEON.D10.RMNP.DP1.00033,40.275903,-105.545955,2751,69.799995,2011-01-03
NEON.D10.STER.DP1.00033,40.461894,-103.02929,1366,45.59,2011-01-03
NEON.D11.BLUE.DP1.20002,34.444218,-96.624201,288,44.1,2011-01-03
NEON.D11.CLBJ.DP1.00033,33.40123,-97.57,279,50.0,2011-01-03
NEON.D11.OAES.DP1.00033,35.41059,-99.05879,520,51.809998,2011-01-03
NEON.D11.PRIN.DP1.20002,33.37859,-97.78226,255,64.729996,2011-01-03
NEON.D12.BLDE.DP1.20002,44.95011,-110.58715,2035,41.329998,2011-01-03
NEON.D12.YELL.DP1.00033,44.95348,-110.53914,2130,47.46,2011-01-03
NEON.D13.COMO.DP1.20002,40.03496,-105.54487,3036,39.879997,2011-01-03
NEON.D13.MOAB.DP1.00033,38.24833,-109.38827,1803,47.219997,2011-01-03
NEON.D13.NIWO.DP1.00033,40.05425,-105.58237,3493,63.89,2011-01-03
NEON.D13.WLOU.DP1.20002,39.891366,-105.915395,2920,32.93,2011-01-03
NEON.D14.JORN.DP1.00033,32.59068,-106.84254,1321,37.899998,2011-01-03
NEON.D14.SRER.DP1.00033,31.91068,-110.83549,999,26.359999,2011-01-03
NEON.D14.SYCA.DP1.20002,33.749057,-111.506903,644,95.43,2011-01-03
NEON.D15.ONAQ.DP1.00033,40.177599,-112.452452,1655,46.899998,2011-01-03
NEON.D15.REDB.DP1.20002,40.783934,-111.797887,1696,31.34,2011-01-03
NEON.D16.ABBY.DP1.00033,45.76243,-122.33033,390,41.37,2011-01-03
NEON.D16.MART.DP1.20002,45.791248,-121.931959,354,28.57,2011-01-03
NEON.D16.MCRA.DP1.20002,44.259598,-122.165554,880,45.3,2011-01-03
NEON.D16.WREF.DP1.00033,45.82049,-121.95191,368,63.359997,2011-01-03
NEON.D17.BIGC.DP1.20002,37.059719,-119.257549,1133,56.67,2011-01-03
NEON.D17.SJER.DP1.00033,37.10878,-119.73228,398,60.289997,2011-01-03
NEON.D17.SOAP.DP1.00033,37.03337,-119.26219,1210,66.86,2011-01-03
NEON.D17.TEAK.DP1.00033,37.00583,-119.00602,2149,33.85,2011-01-03
NEON.D17.TECR.DP1.20002,36.955931,-119.027363,2053,35.07,2011-01-03
NEON.D18.BARR.DP1.00033,71.28241,-156.61936,7,-9999.0,2011-01-03
NEON.D18.OKSR.DP1.20002,68.669753,-149.143018,773,-9999.0,2011-01-03
NEON.D18.TOOK.DP1.20002,68.629562,-149.610509,715,-9999.0,2011-01-03
NEON.D18.TOOL.DP1.00033,68.66109,-149.37047,827,-9999.0,2011-01-03
NEON.D19.BONA.DP1.00033,65.15401,-147.50258,233,-9999.0,2011-01-03
NEON.D19.CARI.DP1.20002,65.15306,-147.50246,229,-9999.0,2011-01-03
NEON.D19.DEJU.DP1.00033,63.88112,-145.75136,504,-9999.0,2011-01-03
NEON.D19.HEAL.DP1.00033,63.87569,-149.21334,409,-9999.0,2011-01-03
