site,lat,lon,elev,values,date
hobcawclearcutlongleaf,33.3486,-79.232,4,-0.639,2022-01-03
hobcawmaturelongleaf,33.3242,-79.2439,8,-0.639,2022-01-03
homesteadsprings,37.2009,-92.9937,452,0.164,2022-01-03
howland1,45.2041,-68.7403,80,0.32,2022-01-03
howland2,45.2128,-68.7418,79,0.32,2022-01-03
hubbardbrook,43.9438,-71.701,253,0.207,2022-01-03
humnokericea,34.585192,-91.751684,61,-0.97,2022-01-03
humnokericec,34.588853,-91.7516729,70,-0.97,2022-01-03
huyckpreserveny,42.5266,-74.1587,478,1.41,2022-01-03
hwmo1,20.0212,-155.7331,585,-9999.0,2022-01-03
hwmo2,19.9766,-155.8298,12,-9999.0,2022-01-03
hwmo5,20.1117,-155.8151,635,-9999.0,2022-01-03
ibp,32.589,-106.847,1325,-0.876,2022-01-03
imcrkfen,68.60583,-149.31101,900,-9999.0,2022-01-03
imcrkridge0,68.60681,-149.2958,951,-9999.0,2022-01-03
imcrkridge1,68.60681,-149.2958,951,-9999.0,2022-01-03
imcrktussock,68.60633,-149.30408,918,-9999.0,2022-01-03
jasperridge,37.402028,-122.22104,197,1.286,2022-01-03
jerbajada,32.57992,-106.633793,1402,-0.687,2022-01-03
jergrassland,32.5833,-106.8333,1331,-0.876,2022-01-03
jernort,32.619,-106.788,1328,-1.295,2022-01-03
jernovel,32.6335,-106.8334,1324,-1.206,2022-01-03
jernwern,32.6271,-106.7387,1325,-0.856,2022-01-03
jersand,32.515,-106.798,1363,-0.426,2022-01-03
jershrubland,32.6502,-106.8334,1328,-1.179,2022-01-03
junipersavannah,34.4254,-105.8615,1931,-0.071,2022-01-03
kamuela,20.015008,-155.661326,850,-9999.0,2022-01-03
kamuela2,20.014959,-155.661139,830,-9999.0,2022-01-03
kansas,39.0561,-95.1907,333,-0.052,2022-01-03
kelloggcorn,42.437536,-85.3225472,288,0.794,2022-01-03
kempnrs,45.83992,-89.67755,539,-0.11,2022-01-03
kendall,31.73652,-109.94185,1529,0.483,2022-01-03
konza,39.0824,-96.5603,443,-0.355,2022-01-03
