"site","lat","lon","elev"
"meadpasturese",41.1447,-96.4616,356
"meadpasturesw",41.1447,-96.4616,356
"missouriozarks",38.7441,-92.2,219
"morganmonroe",39.3231,-86.4131,275
"morganmonroe2",39.3231,-86.4131,275
"nahuku",19.415187,-155.238383,1202
"nationalelkrefuge",43.488931,-110.737824,1899
"ncssm",36.018446,-78.92075,175
"NEON.D01.BART.DP1.00033",44.063869,-71.287375,285
"NEON.D01.BART.DP1.00042",44.063869,-71.287375,285
"NEON.D01.HARV.DP1.00033",42.536911,-72.17265,359
"NEON.D01.HARV.DP1.00042",42.536911,-72.17265,359
"NEON.D01.HOPB.DP1.20002",42.471786,-72.329627,203
"NEON.D02.BLAN.DP1.00033",39.033698,-78.041788,162
"NEON.D02.BLAN.DP1.00042",39.033698,-78.041788,162
"NEON.D02.LEWI.DP1.20002",39.09564,-77.98322,152
"NEON.D02.POSE.DP1.20002",38.89332,-78.14678,293
"NEON.D02.SCBI.DP1.00033",38.892925,-78.139494,364
"NEON.D02.SCBI.DP1.00042",38.892925,-78.139494,364
"NEON.D02.SERC.DP1.00033",38.89008,-76.56001,30
"NEON.D02.SERC.DP1.00042",38.89008,-76.56001,30
"NEON.D03.BARC.DP1.20002",29.676473,-82.009089,35
"NEON.D03.DSNY.DP1.00033",28.12505,-81.43619,22
"NEON.D03.DSNY.DP1.00042",28.12505,-81.43619,22
"NEON.D03.FLNT.DP1.20002",31.185424,-84.437403,27
"NEON.D03.JERC.DP1.00033",31.194839,-84.468623,58
"NEON.D03.JERC.DP1.00042",31.194839,-84.468623,58
"NEON.D03.OSBS.DP1.00033",29.689282,-81.993431,56
"NEON.D03.OSBS.DP1.00042",29.689282,-81.993431,56
"NEON.D03.SUGG.DP1.20002",29.687054,-82.016171,28
"NEON.D04.CUPE.DP1.20002",18.11352,-66.98676,164
"NEON.D04.GUAN.DP1.00033",17.96955,-66.8687,136
"NEON.D04.GUAN.DP1.00042",17.96955,-66.8687,136
"NEON.D04.GUIL.DP1.20002",18.1741,-66.79851,564
"NEON.D04.LAJA.DP1.00033",18.021261,-67.076889,22
"NEON.D04.LAJA.DP1.00042",18.021261,-67.076889,22
"NEON.D05.CRAM.DP1.20002",46.21111,-89.47825,518
"NEON.D05.LIRO.DP1.20002",45.998269,-89.704767,495
"NEON.D05.STEI.DP1.00033",45.50894,-89.58637,476
"NEON.D05.STEI.DP1.00042",45.50894,-89.58637,476
"NEON.D05.TREE.DP1.00033",45.49373,-89.58572,474
"NEON.D05.TREE.DP1.00042",45.49373,-89.58572,474
"NEON.D05.UNDE.DP1.00033",46.23391,-89.537254,529
"NEON.D05.UNDE.DP1.00042",46.23391,-89.537254,529
"NEON.D06.KING.DP1.20002",39.10506,-96.60336,339
"NEON.D06.KONA.DP1.00033",39.110446,-96.612935,443
"NEON.D06.KONA.DP1.00042",39.110446,-96.612935,443
"NEON.D06.KONZ.DP1.00033",39.10077,-96.56309,415
"NEON.D06.KONZ.DP1.00042",39.10077,-96.56309,415
"NEON.D06.MCDI.DP1.20002",38.94428,-96.44197,376
"NEON.D06.UKFS.DP1.00033",39.040431,-95.19215,330
"NEON.D06.UKFS.DP1.00042",39.040431,-95.19215,330
"NEON.D07.GRSM.DP1.00033",35.68896,-83.50195,589
"NEON.D07.GRSM.DP1.00042",35.68896,-83.50195,589
"NEON.D07.LECO.DP1.20002",35.69043,-83.50379,578
"NEON.D07.MLBS.DP1.00033",37.378314,-80.524847,1177
"NEON.D07.MLBS.DP1.00042",37.378314,-80.524847,1177
"NEON.D07.ORNL.DP1.00033",35.964128,-84.282588,351
"NEON.D07.ORNL.DP1.00042",35.964128,-84.282588,351
"NEON.D07.WALK.DP1.20002",35.95947,-84.28041,274
"NEON.D08.BLWA.DP1.20002",32.541529,-87.798151,23
"NEON.D08.DELA.DP1.00033",32.541727,-87.803877,36
"NEON.D08.DELA.DP1.00042",32.541727,-87.803877,36
"NEON.D08.LENO.DP1.00033",31.85388,-88.16122,10
"NEON.D08.LENO.DP1.00042",31.85388,-88.16122,10
"NEON.D08.MAYF.DP1.20002",32.959657,-87.408128,93
"NEON.D08.TALL.DP1.00033",32.95047,-87.393259,167
"NEON.D08.TALL.DP1.00042",32.95047,-87.393259,167
"NEON.D08.TOMB.DP1.20002",31.853431,-88.158872,10
"NEON.D09.DCFS.DP1.00033",47.161647,-99.106556,574
"NEON.D09.DCFS.DP1.00042",47.161647,-99.106556,574
"NEON.D09.NOGP.DP1.00033",46.76972,-100.91535,589
"NEON.D09.NOGP.DP1.00042",46.76972,-100.91535,589
"NEON.D09.PRLA.DP1.20002",47.15909,-99.11388,563
"NEON.D09.PRPO.DP1.20002",47.12999,-99.250551,587
"NEON.D09.WOOD.DP1.00033",47.1282,-99.241334,585
"NEON.D09.WOOD.DP1.00042",47.1282,-99.241334,585
"NEON.D10.ARIK.DP1.20002",39.758246,-102.447103,1188
"NEON.D10.CPER.DP1.00033",40.81553,-104.7456,1600
"NEON.D10.CPER.DP1.00042",40.81553,-104.7456,1600
"NEON.D10.HQTW.DP1.00033",40.016704,-105.245612,1601
"NEON.D10.HQTW.DP1.00042",40.016704,-105.245612,1601
"NEON.D10.RMNP.DP1.00033",40.275903,-105.545955,2751
"NEON.D10.RMNP.DP1.00042",40.275903,-105.545955,2751
"NEON.D10.STER.DP1.00033",40.461894,-103.02929,1366
"NEON.D10.STER.DP1.00042",40.461894,-103.02929,1366
"NEON.D11.BLUE.DP1.20002",34.444218,-96.624201,288
"NEON.D11.CLBJ.DP1.00033",33.40123,-97.57,279
"NEON.D11.CLBJ.DP1.00042",33.40123,-97.57,279
"NEON.D11.OAES.DP1.00033",35.41059,-99.05879,520
"NEON.D11.OAES.DP1.00042",35.41059,-99.05879,520
"NEON.D11.PRIN.DP1.20002",33.37859,-97.78226,255
"NEON.D12.BLDE.DP1.20002",44.95011,-110.58715,2035
"NEON.D12.YELL.DP1.00033",44.95348,-110.53914,2130
"NEON.D12.YELL.DP1.00042",44.95348,-110.53914,2130
"NEON.D13.COMO.DP1.20002",40.03496,-105.54487,3036
"NEON.D13.MOAB.DP1.00033",38.24833,-109.38827,1803
"NEON.D13.MOAB.DP1.00042",38.24833,-109.38827,1803
"NEON.D13.NIWO.DP1.00033",40.05425,-105.58237,3493
