site,lat,lon,elev,values,date
alligatorriver,35.7879,-75.9038,1,0.759,2018-01-01
arbutuslake,43.98207,-74.23322,535,1.544,2018-01-01
arbutuslakeinlet,43.99336,-74.24527,527,1.544,2018-01-01
archboldavir,27.176064,-81.21958,8,0.746,2018-01-01
archboldavirx,27.166627,-81.219828,8,0.746,2018-01-01
archboldbahia,27.1656,-81.216112,8,0.746,2018-01-01
archboldpnot,27.187948,-81.200345,9,0.746,2018-01-01
archboldpnotx,27.180677,-81.20068,9,0.746,2018-01-01
arkansascornsoy,34.416,-91.6723,61,0.647,2018-01-01
arsbrooks10,41.9749,-93.6905,312,-0.309,2018-01-01
arsbrooks11,41.9744,-93.6937,313,-0.309,2018-01-01
arscolesnorth,42.4884,-93.5225,356,-0.241,2018-01-01
arscolessouth,42.4816,-93.5235,352,-0.241,2018-01-01
arsgacp1,31.5109,-83.6179,96,-0.804,2018-01-01
arsgacp3,31.7563,-83.7516,139,-0.93,2018-01-01
arsgacp4,31.7093,-83.7287,127,-0.715,2018-01-01
arsgreatbasinltar098,43.1675,-116.7132,1426,0.709,2018-01-01
arsgreatbasinltar117,43.1432,-116.7357,1625,0.148,2018-01-01
arsgreatbasinltar177,43.0645,-116.7484,2114,-0.375,2018-01-01
arsltarmdcr,39.0587,-75.8513,17,-0.093,2018-01-01
arsltarmdcrnatw,39.0575,-75.7531,16,-0.036,2018-01-01
arsltarmdcrprcw,39.0667,-75.7609,17,-0.036,2018-01-01
arsltarmdcrresw,39.0549,-75.7532,16,-0.036,2018-01-01
arsltarucbec1,40.7537,-78.0057,400,0.658,2018-01-01
arsltarucbec2,40.7558,-77.9999,396,0.658,2018-01-01
arsmnswanlake1,45.684508,-95.799703,370,0.795,2018-01-01
arsmorris1,45.6167,-96.1269,341,0.783,2018-01-01
arsmorris2,45.627,-96.127,338,0.783,2018-01-01
arsmorris3,45.6091,-96.1265,342,0.783,2018-01-01
arsope3ltar,39.0309,-76.8442,41,-0.216,2018-01-01
ashburnham,42.6029,-71.926,292,0.239,2018-01-01
asuhighlands,36.2076,-81.7032,1016,1.007,2018-01-01
austincary,29.738,-82.2188,44,2.61,2018-01-01
barrow,71.28007453,-156.6091492,5,-9999.0,2018-01-01
bartlettir,44.0646,-71.2881,268,1.043,2018-01-01
bigtraillake,64.9194,-147.822,190,-9999.0,2018-01-01
bitterbrush001,48.154,-119.9456,667,0.827,2018-01-01
blackrockforest,41.3974,-74.0239,427,-1.223,2018-01-01
bnzblackspruce,64.6963,-148.3235,102,-9999.0,2018-01-01
bnzrichfen,64.70134,-148.31195,97,-9999.0,2018-01-01
bnzthermokarstbog,64.6955,-148.3208,104,-9999.0,2018-01-01
boglakepeatland,47.5051,-93.4893,416,0.077,2018-01-01
bostoncommon,42.355912,-71.064145,10,-0.246,2018-01-01
bostonu,42.35041,-71.10438,10,-0.276,2018-01-01
bouldinalfalfa,38.0985,-121.4993,-5,0.17,2018-01-01
bouldincorn,38.109,-121.535,-5,0.17,2018-01-01
bozeman,45.783056,-110.777778,2332,0.988,2018-01-01
brackishimpoundment,33.2015,-79.2973,1,-0.307,2018-01-01
bullshoals,36.562833,-93.06663,260,0.425,2018-01-01
burnssagebrush,43.4712,-119.6909,1398,-0.435,2018-01-01
butte,45.95304,-112.47964,1682,-0.451,2018-01-01
butterice,39.5793,-121.858,33,-0.143,2018-01-01
cafboydnorthltar01,46.755104,-117.126052,795,1.811,2018-01-01
cafboydsouthltar01,46.751809,-117.128502,795,1.811,2018-01-01
cafcookeastltar01,46.78152,-117.0821,794,1.784,2018-01-01
cafcookwestltar01,46.784037,-117.09083,807,1.784,2018-01-01
caryinstitute,41.7839,-73.7341,127,-0.798,2018-01-01
centralredwoods1,38.632272,-123.301511,200,0.206,2018-01-01
centralredwoods2,38.632272,-123.301511,200,0.206,2018-01-01
cperagm,40.8402,-104.7672,1644,0.33,2018-01-01
cperheavy,40.8153,-104.7386,1652,0.497,2018-01-01
cpertgm,40.833,-104.76,1644,0.32,2018-01-01
cperuvb,40.8055764,-104.7558542,1641,0.32,2018-01-01
cuny,40.8162,-73.9507,42,-0.579,2018-01-01
doverdesaltmarsh,39.0888,-75.4368,0,0.837,2018-01-01
